,name,hometown,high school?,sport,college
174,Antonio Bachmann,"Gainesville, Va.",Highland HS,mens soccer,west_virginia
175,Stephen Banick,"Pickerington, Ohio",Pickerington HS North,mens soccer,west_virginia
176,Jake Coale,"Newark, Del.",Newark HS,mens soccer,west_virginia
177,Pascal Derwaritsch,"Altlussheim, Germany",Privatgymnasium St. Leon Rot,mens soccer,west_virginia
178,Sebastian Garcia-Herreros,"Southwest Ranches, Fla.",Cypress Bay HS,mens soccer,west_virginia
179,Brendan Hogan,"Haymarket, Va.",Battlefield HS,mens soccer,west_virginia
180,Ryan Kellogg,"Parkville, Mo.",Park Hill South HS,mens soccer,west_virginia
181,Rushawn Larmond,"Philadelphia, Pa.",Pottsgrove HS,mens soccer,west_virginia
182,Logan Lucas,"Lee's Summit, Mo.",Lee's Summit West HS,mens soccer,west_virginia
183,Kevin Morris,"Mt. Airy, Md.",South Carroll HS,mens soccer,west_virginia
184,Spenser Myers,"Chicora, Pa.",Karns Area HS,mens soccer,west_virginia
185,Joey Piatczyc,"Lee's Summit, Mo.",Lee's Summit HS,mens soccer,west_virginia
186,Jorge Quintanilla,"Germantown, Md.",Quince Orchard HS,mens soccer,west_virginia
187,Tyler Shaffer,"Charleston, W.Va.",Capital HS,mens soccer,west_virginia
188,Ethan Shim,"Maraval, Trinidad",St. Mary's College,mens soccer,west_virginia
189,Tsubasa Takada,"Narashino City, Japan",Municipal HS Funabashi,mens soccer,west_virginia
190,Steven Tekesky,"Raymore, Mo.",Ray-Pec HS,mens soccer,west_virginia
191,Hannah Abraham,"Fairchance, Pa.",Albert Gallatin High,womens soccer,west_virginia
192,Mackenzie Aunkst,"Harrison City, Pa.",Penn-Trafford High,womens soccer,west_virginia
193,Jordan Brewster,"North Canton, Ohio",Hoover High,womens soccer,west_virginia
194,Addison Clark,"Wayzata, Minn.",Wayzata High,womens soccer,west_virginia
195,Grace Cutler,"Fort Collins, Colo.",Santa Clara University,womens soccer,west_virginia
196,Patricia Fernandez,"Pearland, Texas",St. Stephen's Episcopal Aca.,womens soccer,west_virginia
197,Stefany Ferrer-vanGinkel,"Argencola, Barcelona",IES Pere Vives,womens soccer,west_virginia
198,Vanessa Flores,"Baytown, Texas",Ross S. Sterling High,womens soccer,west_virginia
199,Rylee Foster,"Cambridge, Ontario",Glenview Park Secondary,womens soccer,west_virginia
200,Jade Gentile,"Baldwinsville, N.Y.",Baldwinsville High,womens soccer,west_virginia
201,Nadya Gill,"Toronto, Ontario",N/A,womens soccer,west_virginia
202,Danielle Gordon,"Jacksonville, Fla.",Atlantic Coast HS,womens soccer,west_virginia
203,Sh'nia Gordon,"Ocklawaha, Fla.",Richmond Hill High,womens soccer,west_virginia
204,Lois Joel,"North Finchley, England",St. Michael's Catholic Grammar,womens soccer,west_virginia
205,Aiyana Lauderman,"Parkersburg, W.Va.",Parkersburg South,womens soccer,west_virginia
206,Lizzie Mayfield,"Atlanta, Ga.",North Atlanta High,womens soccer,west_virginia
