,name,hometown,high school,school,name text,hometown text,high school text,school text,sport,college
33,Austin Hiller,"Lakeway, Texas / Lake Travis","Lakeway, Texas / Lake Travis","Lakeway, Texas / Lake Travis",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
34,Brian Bullock,"Round Rock, Texas / Round Rock","Round Rock, Texas / Round Rock","Round Rock, Texas / Round Rock",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
35,Jeremiah McDonald,"Slidell, La. / Northshore High","Slidell, La. / Northshore High","Slidell, La. / Northshore High",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
36,Chris Bergin,"Bloomfield Hills, Mich. / Detroit Country Day","Bloomfield Hills, Mich. / Detroit Country Day","Bloomfield Hills, Mich. / Detroit Country Day",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
37,Jeremy Larkin,"Cincinnati, Ohio / La Salle","Cincinnati, Ohio / La Salle","Cincinnati, Ohio / La Salle",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
38,Greg Newsome II,"Chicago, Ill. / IMG Academy (Fla.)","Chicago, Ill. / IMG Academy (Fla.)","Chicago, Ill. / IMG Academy (Fla.)",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
39,Jaylen Rivers,"Decatur, Ga. / Grayson","Decatur, Ga. / Grayson","Decatur, Ga. / Grayson",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
40,Nate Hall,"Toledo, Ohio / Southview","Toledo, Ohio / Southview","Toledo, Ohio / Southview",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
41,Grayson Mann,"Fort Worth, Texas / Fort Worth All Saints","Fort Worth, Texas / Fort Worth All Saints","Fort Worth, Texas / Fort Worth All Saints",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
42,Chee Anyanwu,"Buford, Ga. / Buford","Buford, Ga. / Buford","Buford, Ga. / Buford",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
43,Erik Mueller,"Wheaton, Ill. / Wheaton North","Wheaton, Ill. / Wheaton North","Wheaton, Ill. / Wheaton North",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
44,Jesse Brown,"Lilburn, Ga. / Brookwood","Lilburn, Ga. / Brookwood","Lilburn, Ga. / Brookwood",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
45,Ryan Dominick,"Honolulu, Hawaii / Punahou","Honolulu, Hawaii / Punahou","Honolulu, Hawaii / Punahou",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
46,Cody Gronewold,"Lincoln, Neb. / Northeast","Lincoln, Neb. / Northeast","Lincoln, Neb. / Northeast",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
47,Donovan Sermons,"Pomona, Calif. / Damien","Pomona, Calif. / Damien","Pomona, Calif. / Damien",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
48,Drew Luckenbaugh,"Spring Grove, Pa. / Spring Grove","Spring Grove, Pa. / Spring Grove","Spring Grove, Pa. / Spring Grove",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
49,Trey Klock,"Hummelstown, Pa. / Lower Dauphin","Hummelstown, Pa. / Lower Dauphin","Hummelstown, Pa. / Lower Dauphin",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
50,Peter McIntyre,"Perrysburg, Ohio / Saint Johns' Jesuit","Perrysburg, Ohio / Saint Johns' Jesuit","Perrysburg, Ohio / Saint Johns' Jesuit",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
51,Jared McGee,"Mansfield, Texas / Mansfield Legacy","Mansfield, Texas / Mansfield Legacy","Mansfield, Texas / Mansfield Legacy",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
52,Paddy Fisher,"Katy, Texas / Katy","Katy, Texas / Katy","Katy, Texas / Katy",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
53,Tyler Gillikin,"Atlanta, Ga. / Westminster","Atlanta, Ga. / Westminster","Atlanta, Ga. / Westminster",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
54,Khalid Jones,"Greenville, S.C. / Byrnes","Greenville, S.C. / Byrnes","Greenville, S.C. / Byrnes",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
55,James Prather,"Memphis, Tenn. / Memphis University School","Memphis, Tenn. / Memphis University School","Memphis, Tenn. / Memphis University School",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
56,Nathan Fox,"Houston, Texas / Clear Lake","Houston, Texas / Clear Lake","Houston, Texas / Clear Lake",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
57,Troy Hudetz,"Naperville, Ill. / Naperville Central","Naperville, Ill. / Naperville Central","Naperville, Ill. / Naperville Central",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
58,Devin O'Rourke,"Mokena, Ill. / Lincoln Way East","Mokena, Ill. / Lincoln Way East","Mokena, Ill. / Lincoln Way East",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
59,Joe Bergin,"Bloomfield Hills, Mich. / Detroit Country Day","Bloomfield Hills, Mich. / Detroit Country Day","Bloomfield Hills, Mich. / Detroit Country Day",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
60,Brian Kaiser,"Wilmette, Ill. / New Trier","Wilmette, Ill. / New Trier","Wilmette, Ill. / New Trier",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
61,Peter Snodgrass,"Palo Alto, Calif. / Palo Alto","Palo Alto, Calif. / Palo Alto","Palo Alto, Calif. / Palo Alto",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
62,Jake Collins,"Louisville, Ky. / St. Xavier","Louisville, Ky. / St. Xavier","Louisville, Ky. / St. Xavier",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
63,Jango Glackin,"Lebanon, Ohio / IMG Academy (Fla.)","Lebanon, Ohio / IMG Academy (Fla.)","Lebanon, Ohio / IMG Academy (Fla.)",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
64,Blake Gallagher,"Raynham, Mass. / Saint Sebastian's","Raynham, Mass. / Saint Sebastian's","Raynham, Mass. / Saint Sebastian's",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
65,Sam Gerak,"Avon, Ohio / Avon","Avon, Ohio / Avon","Avon, Ohio / Avon",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
66,Andrew Leota,"Asheville, N.C. / Asheville","Asheville, N.C. / Asheville","Asheville, N.C. / Asheville",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
67,Mark Gooden,"Reynoldsburg, Ohio / Reynoldsburg","Reynoldsburg, Ohio / Reynoldsburg","Reynoldsburg, Ohio / Reynoldsburg",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
68,Cam Kolwich,"Beverly Hills, Mich. / Orchard Lake St. Mary's","Beverly Hills, Mich. / Orchard Lake St. Mary's","Beverly Hills, Mich. / Orchard Lake St. Mary's",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
